address,cname,com_type,com_url,description,industry,info,is_collect,logo,name,pranum,reg_capi,reg_name,reg_num,scale,start_time,tags,types,url,vote_url,wurl
北京,北京东方国信科技股份有限公司,股份有限公司(上市、自然人投资或控股),http://www.qichacha.com/firm_SH_2a37d85640b3c3285cf418fd401f381d.shtml,公司是目前国内应用软件及大数据建设的领先者,计算机/互联网,北京东方国信科技股份有限公司（以下简称“公司”）成立于1997年7月，2011年1月25日于深圳证券交易所创业板上市，股票代码300166。目前公司注册资本10.6亿，旗下有14个全资子公司（其中包含一家英国子公司）业务遍及35个国家，在全国32个省市设有办事处、研发基地和现场服务队伍；目前员工规模5200人。公司是国家级高新技术企业、北京市高新技术企业，以“打造民族软件品牌”为己任，坚持自主研发的路线，拥有分布式数据库，大数据集成与治理，数据挖掘，数据可视化等一系列核心技术，拥有75项自主知识产权的软件产品和软件著作权。公司是目前国内应用软件及大数据建设的领先者，商业智能、大数据、云计算、移动及互联网金融等产品已广泛应用于多个行业。目前已形成电信、金融、政府、工业、能源和新闻媒体六大板块业务体系，旨在打造民族软件品牌，成为中国大数据领域的领导者。,0,https://sxsimg.xiaoyuanzhao.com/22/7B/22B423F3ACCB56C620622B3396FFD07B.jpg,东方国信,0,104996.948000万人民币,注册号,110105002496292,2000人以上,2008-06-30,"[""\u80fd\u5b66\u5230\u5f88\u591a"", ""\u5b9e\u6218\u6280\u80fd\u503cup"", ""\u7559\u7528\u673a\u5236""]","[{""job"": ""\u8f6f\u4ef6""}, {""job"": ""IT\u8fd0\u7ef4""}, {""job"": ""\u4eba\u529b\u8d44\u6e90""}]",https://www.shixiseng.com/com/com_bnqejgctpwqx,,www.bonc.com.cn
上海,平安科技（深圳）有限公司,有限责任公司（法人独资）,http://www.qichacha.com/firm_SH_b8f7943772f22d363b8c5daa7d41eb15.shtml,最好的金融大数据公司,"计算机/互联网,金融",创新，开放,0,https://sxsimg.xiaoyuanzhao.com/99/B7/9934093BA0C3A665415E2CDAAAC7D5B7.jpeg,平安科技,2,20476.38万元人民币,注册号,440301503310230,2000人以上,2008-05-30,[],"[{""job"": ""\u524d\u7aef""}, {""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_vy8wkyas0goy,,
北京,北京小桔科技有限公司,有限责任公司(自然人投资或控股),http://www.qichacha.com/firm_SH_4659626b1e5e43f1bcad8c268753216e.shtml,每天为全国超过1亿的用户提供便捷召车服务,互联网,滴滴出行，滴滴打车升级为滴滴出行。每天为全国超过1亿的用户提供便捷召车服务 。旗下业务包含面向中高端用户群体的滴滴专车，面向大众群体出行的滴滴快车，绿色节能环保的拼车业务滴滴顺风车，给企业带来实惠与方便的滴滴企业用车，为车主群体提供代驾服务的滴滴代驾。,0,https://sxsimg.xiaoyuanzhao.com/3C/D1/3C0BD69C2DC0C5222A061635FDC55BD1.jpg,滴滴出行,10,1000 万元 人民币,注册号,110108015068911,500-2000人,2012-07-10,"[""\u6709\u53d1\u5c55"", ""\u6c42\u624d\u82e5\u6e34"", ""\u4e0b\u5348\u8336"", ""\u5b9e\u4e60\u6d25\u8d34"", ""\u96f6\u98df\u6c34\u679c""]","[{""job"": ""\u4ea7\u54c1\u8fd0\u8425""}, {""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_btxi6ynd6v1d,,www.xiaojukeji.com
大连,大连市世纪鲲鹏科技有限公司,有限责任公司(外商投资企业法人独资),http://www.qichacha.com/firm_SH_4fa98e43e85e2163847ecee8fa4b5bb4.shtml,腾讯无线大连研发中心是腾讯科技有限公司在大连的全资子公司,互联网,<div>     腾讯无线大连研发中心是腾讯科技有限公司(香港联交所股票代码700)在大连的全资子公司，成立于2010年2月，位于大连市高新技术园区。公司一直致力于移动互联网产品领域的研发创新工作，依托腾讯海量的用户资源、强大的技术实力，为智能终端用户提供众多酷炫领先的明星级产品。公司目前参与研发的产品包括手机应用（如：手机QQ、QQ音乐、QQ空间、QQ浏览器、安全管家、应用宝等）、腾讯手游（如：天魔幻想、天天风之旅、天天酷跑3D、全民水浒、全民农场、各类棋牌游戏等）等产品。此外，公司自研产品腾讯优测在为腾讯内部产品保驾护航的同时，也积极将核心能力对外输出。通过优测云真机，XTest自动化测试框架等平台工具，为移动互联网产品提供更加专业高效的质量保障服务。<br>    未来已来，期待与你共创精彩。<br>​<br></div>,0,https://sxsimg.xiaoyuanzhao.com/82/3D/82C3DA937235431C6137523C0385633D.png,腾讯无线大连研发中心,20,1000 万人民币,组织机构代码,55060353-5,150-500人,2010-01-26,"[""90\u540e\u5c45\u591a"", ""\u5b9e\u4e60\u673a\u4f1a\u597d""]","[{""job"": ""C/C++""}, {""job"": ""\u4ea7\u54c1""}, {""job"": ""\u4eba\u4e8b/HR""}, {""job"": ""\u4ea7\u54c1\u52a9\u7406""}, {""job"": ""\u8f6f\u4ef6""}, {""job"": ""\u524d\u7aef""}, {""job"": ""\u4ea7\u54c1\u8fd0\u8425""}, {""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_kmhasexs2xlo,,
上海,上海数策软件股份有限公司,股份有限公司（非上市、自然人投资或控股）,http://www.qichacha.com/firm_SH_df9d88735692bbe772322105cda8e3ee.shtml,专注于汽车行业数据分析,计算机/互联网,公司办公地点在上海浦东金桥，服务的客户涵盖国内大部分知名主机厂商，公司在汽车行业的大数据分析经验深厚，能够为您了解汽车行业及大数据分析提供优质平台。,0,https://sxsimg.xiaoyuanzhao.com/89/99/8956851288C7368F8662E01C6AD02F99.jpg,上海数策,0,330万人民币,组织机构代码,58059919-4,50-150人,2011-08-12,"[""\u514d\u8d39\u5bbf\u820d"", ""\u5e73\u53f0\u597d\u673a\u4f1a\u591a"", ""\u9ad8\u5927\u4e0a\u5ba2\u6237"", ""\u73af\u5883\u597d\u6c1b\u56f4\u597d""]","[{""job"": ""\u8f6f\u4ef6""}, {""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_j8bx1vk4zabh,,www.mathartsys.com
杭州,网易（杭州）网络有限公司,有限责任公司（台港澳法人独资）,http://www.qichacha.com/firm_SH_608886557bb9cf989ae600d1e8a94d40.shtml,中国领先的游戏开发公司,互联网,"关于网易游戏：
    网易是全球领先的游戏开发与发行公司，自主研发了《梦幻西游2》《大话西游2》《天下3》《天谕》《倩女幽魂》《乱斗西游》《梦幻西游手游》等几十款倍受玩家喜爱的热门端游和手游，更独家代理了《魔兽世界》《炉石传说》等多款风靡全球的游戏。，一直在网络游戏的自主研发领域处于行业前列，目前是中国自主研发第一网游公司。
　　2015年，网易游戏正式开启""游戏热爱者""品牌战略，用自身行动传导热爱者价值，并全面启动""聚合精品，共享热爱""战略计划，以全球化视野为游戏热爱者创造和发现好玩的精品游戏，提高游戏准入门槛，降低用户选择门槛。

关于网易：
        网易公司(NASDAQ: NTES)是中国领先的互联网技术公司，在开发互联网应用、服务及其它技术方面，网易始终保持国内业界的领先地位。网易对中国互联网的发展具有强烈的使命感，网易利用最先进的互联网技术，加强人与人之间信息的交流和共享，实现""网聚人的力量""。
　　自1997年6月创立以来，凭借先进的技术和优质的服务，网易深受广大网民的欢迎，曾两次被中国互联网络信息中心（CNNIC）评选为中国十佳网站之首。截止2005年9月30日，网易已有超过4.1亿名累计注册用户，日平均页面浏览量更已超过了6.14亿人次。
　　在开发互联网应用、服务及其它技术方面，网易始终保持业界的领先地位，并取得了中国互联网行业多项第一：第一家中文全文检索，第一家提供全中文大容量的免费邮件系统，第一个无限容量免费的网络相册，第一个免费电子贺卡站，第一个网上虚拟社区，第一个网上拍卖平台，第一个24小时客户服务中心，第一个成功运营自主研发国产网络游戏并取得白金地位。
　　更详细信息请参考：http://www.163.com",0,https://sxsimg.xiaoyuanzhao.com/B0/E4/B00FD20AE1431CF1143AA76CC5AD4CE4.jpg,网易游戏,37,13760 万美元,注册号,330000400000772,2000人以上,2006-06-02,"[""\u5927\u725b\u591a"", ""\u798f\u5229\u591a\u591a"", ""\u7cbe\u82f1\u56e2\u961f"", ""\u9ad8\u7aef\u4eba\u8109"", ""\u9ad8\u4eba\u6c14\u521b\u59cb\u4eba"", ""\u6709\u6210\u957f\u7a7a\u95f4""]","[{""job"": ""C/C++""}, {""job"": ""\u7b56\u5212""}, {""job"": ""\u7f16\u8f91""}, {""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_jlmluziwehbx,,hr.163.com
北京,北京百分点信息科技有限公司,其他有限责任公司,http://www.qichacha.com/firm_SH_583b2474b98080a68b4558b7186c138b.shtml,中国领先的大数据技术与应用服务商,计算机/互联网,"百分点集团成立于2009年，是中国领先的大数据技术与应用服务商。百分点现有员工近600人，包括2位国家千人计划入选者，30多位博士，和来自于国内外一流大学与技术公司的300多人的研发团队。百分点首席科学家团队由多名国际顶尖的华人学者组成。
六年来，百分点坚持自主创新，沉淀了丰富和坚实的企业级大数据技术和应用实践，软件著作、专利与技术创新过百项。百分点产品线全面涵盖大数据技术层、管理层和应用层，核心产品包括技术层的大数据操作系统，管理层的用户画像标签工场，以及应用层的推荐引擎、分析引擎和营销引擎。
目前，百分点的业务已拓展至电商、媒体、零售、家电制造、汽车、政府、电信、金融等多个行业，服务近2,000家互联网及传统企业客户，使企业能快速、低成本地使用成熟的大数据技术和应用服务，帮助企业在“互联网+”时代获得大数据能力并转化为生产力。
技术、应用、数据是百分点的三大核心竞争力，技术上，百分点拥有成熟的大数据技术与管理平台，高性能的实时与离线计算能力和丰富的算法库及商业模型；应用上，百分点基于三大核心引擎的全业务驱动产品体系，帮助企业深入挖掘大数据的商业价值；数据上，百分点拥有5.5亿受众画像和1亿的商品画像，致力于在保障用户隐私及数据安全的前提下融合数据，推动数据流转，消除企业信息孤岛。
展望未来，百分点将继续在企业级大数据技术与应用领域开拓与前行，让大数据造福于中国万千企业，推动智慧商业，引领效率社会。",0,https://sxsimg.xiaoyuanzhao.com/D1/BE/D1EEC8358B802CD480D1433E6B5DF3BE.jpg,百分点科技,1,1123.7773 万元 人民币,注册号,110108012052401,500-2000人,2009-07-01,"[""\u6fc0\u60c5\u56e2\u961f"", ""\u6562\u521b\u65b0"", ""\u4e13\u4e1a\u5316\u6d41\u7a0b"", ""\u73af\u5883\u9ad8\u5927\u4e0a"", ""\u514d\u8d39\u5496\u5561"", ""\u5185\u90e8\u57f9\u8bad"", ""\u6210\u957f\u673a\u4f1a\u5927"", ""\u8282\u65e5\u60ca\u559c"", ""\u751f\u65e5\u60ca\u559c"", ""\u7cbe\u5fc3\u57f9\u517b""]","[{""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_2lvhnhyggiur,,www.baifendian.com
上海,上海骇推智能科技有限公司,无,http://www.qichacha.com,一家从事AI教育的新型创业公司,"计算机/互联网,AI人工智能",GET是一家以人工智能技术重新定义自主学习公司，我们希望通过智能科技的手段为用户链接最合适的知识。,0,https://sxsimg.xiaoyuanzhao.com/FA/E3/FAA8BF8968768EAA6E929AA221ADE2E3.png,GET,0,无,注册号,无,少于15人,无,"[""\u5e74\u8f7b\u5316\u7684\u56e2\u961f"", ""\u5b9e\u8df5\u68a6\u60f3"", ""\u5e72\u8d27\u5b9e\u4e60"", ""\u4e1a\u5185\u8ba4\u53ef\u5ea6\u9ad8\uff0c\u9886\u5bfcNice\uff0cAI\uff0c\u533a\u5757\u94fe\uff0c\u6709\u6fc0\u60c5\uff0c\u65e0\u653f\u6cbb"", ""\u8fd0\u52a8\u5065\u8eab"", ""\u6c14\u6c1b\u597d""]","[{""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u7b97\u6cd5""}]",https://www.shixiseng.com/com/com_eymlwnjesqes,,www.xuehuiget.com
北京,摩比神奇（北京）信息技术有限公司,其他有限责任公司,http://www.qichacha.com/firm_SH_f455e367d17bc97bd6b58bdddf6bb1e3.shtml,全球领先的移动互联网公司，奇虎360科技有限公司控股子公司,计算机/互联网,摩比神奇（北京）信息技术有限公司成立于2013年，是奇虎360科技有限公司控股子公司，拥有奇虎360核心的安全技术和互联网基因，是全球领先的移动互联网公司。核心产品360 Security是一款集手机安全及优化于一体的安卓应用，一经上市便深受全球用户喜爱，目前已拥有超2亿用户，绝大部分来自美国，欧洲，日本，韩国，印尼等全球主要国家。根据第三方权威机构App Annie数据，360 Security在79个国家Google Play排行榜总榜位列前5名，在90个国家的工具榜中排名第一，用户好评度高达4.6（满分5）。摩比神奇聚焦全球手机用户的需求，持续探索新的产品和商业模式，致力于为全球手机用户带来更高效，更安全的移动生活体验。,0,https://sxsimg.xiaoyuanzhao.com/FA/CE/FAF0889843AB96D6E57BC9AB13E55DCE.jpg,摩比神奇,0,1147.9593万元人民币,注册号,110108016210671,150-500人,2013-08-23,"[""\u4e00\u7ebf\u4e92\u8054\u7f51"", ""\u8282\u5047\u65e5"", ""\u878d\u6d3d\u56e2\u961f\u6c1b\u56f4"", ""\u6bcf\u5e74\u4f53\u68c0""]","[{""job"": ""\u7528\u6237\u7814\u7a76""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u5185\u5bb9\u8fd0\u8425""}]",https://www.shixiseng.com/com/com_wtdftvi5v02q,,www.mobimagic.com
杭州,网易（杭州）网络有限公司,有限责任公司（台港澳法人独资）,http://www.qichacha.com/firm_SH_608886557bb9cf989ae600d1e8a94d40.shtml,国内中国领先的互联网技术公司，游戏行业领导者。,互联网,网易2001年正式成立在线游戏事业部，一直在网络游戏的自主研发领域处于行业前列，目前是中国自主研发第一网游公司。创立至今，网易游戏已经推出十几款自主研发游戏，其中包括：中国自主研发第一人气网游，全球首款双美术版本网游梦幻西游，注册用户2.5亿，最高在线271万；中国自主研发第一原创经典网游-大话西游2，最高在线126万；首款自主研发国韵3D网游天下贰，历时6年，耗资过亿。首款自主研发免费武侠巨制，PK网游之王大唐无双；另外，还有爱情网游大话西游3，大话西游之战歌，大唐豪侠等自主研发游戏。此外，网易08年获得《星际争霸Ⅱ》、《魔兽争霸Ⅲ:混乱之治》、《魔兽争霸Ⅲ:冰封王座》以及战网平台在中国大陆的独家运营权；09年，进一步获得暴雪旗下《魔兽世界》在中国大陆的独家运营权。处于网络游戏产业前沿的网易游戏，一直坚持以研发驱动产品的发展，放手让新人接触行业内顶尖的核心研发技术，更为员工创造了平等，分享的沟通氛围。网易游戏目前已经打造出行业内相当规模的研发团队。网易游戏期待热爱游戏的人才加盟。,0,https://sxsimg.xiaoyuanzhao.com/B0/E4/B00FD20AE1431CF1143AA76CC5AD4CE4.jpg,网易游戏,35,13760 万美元,注册号,330000400000772,2000人以上,2006-06-02,"[""\u5f85\u9047\u4f18\u539a"", ""\u524d\u666f\u53d1\u5c55\u597d"", ""\u664b\u5347\u673a\u5236"", ""\u798f\u5229\u4f53\u7cfb\u5b8c\u5584""]","[{""job"": ""C/C++""}, {""job"": ""\u8fd0\u8425""}, {""job"": ""\u4eba\u529b\u8d44\u6e90""}, {""job"": ""\u7b97\u6cd5""}, {""job"": ""Python""}, {""job"": ""\u62db\u8058""}, {""job"": ""\u4ea7\u54c1""}, {""job"": ""\u8f6f\u4ef6""}, {""job"": ""\u7ffb\u8bd1""}, {""job"": ""\u4ea7\u54c1\u52a9\u7406""}, {""job"": ""IT\u4e92\u8054\u7f51""}, {""job"": ""\u7528\u6237\u7814\u7a76""}, {""job"": ""\u5e02\u573a""}, {""job"": ""\u6d4b\u8bd5""}, {""job"": ""\u6570\u636e\u6316\u6398""}]",https://www.shixiseng.com/com/com_pfjqsqznwone,,
重庆,完美世界（重庆）网络发展有限公司,有限责任公司(法人独资),http://www.qichacha.com/firm_SH_7c31673825fe6f3f4b94046874e7afea.shtml,致力于创造优质的互动娱乐产业品牌,计算机/互联网,"完美世界简介
完美世界产业集群是池宇峰先生创立的全球化文化娱乐产业集群，是中国文化企业的“全产业链发展模式”的代表。长期以来，完美世界产业集群旗下产品遍布美、欧、亚等全球100多个国家和地区。同时，在北京、香港、上海、重庆、成都、合肥、珠海，以及美国、荷兰、韩国、日本等地区设有数十个分支机构，目前，完美世界产业集群拥有游戏、影视、动漫、漫画、文学、媒体、教育等业务版块，其中影视及游戏业务已登陆A股市场（公司名称：完美世界股份有限公司，公司简称：完美世界，证券代码：002624），完美世界是国内最大的影游联合体。2014年，基于市场的需求，以及完美世界业务版图的不断扩张，完美世界重庆分公司正式成立。公司位于重庆市两江新区洪湖西路，占地面积达12000平方米。目前，完美世界重庆分公司涉及的业务内容涵盖游戏制作、游戏媒体事务维护与管理，以及新兴业务的孵化，其中包括电竞和视频项目等内容。2017年，公司将全力推动重庆美术制作业务线的发展，打造一支在重庆业内顶尖的团队。",0,https://sxsimg.xiaoyuanzhao.com/21/BE/2175CC5D253851303BE2122A74A46ABE.jpg,完美世界,7,1000万元,注册号,500905008886167,50-150人,2016-07-14,"[""\u7f8e\u4e3d\u5584\u826f\u7684\u5c0f\u4f19\u4f34"", ""\u9ad8\u901f\u53d1\u5c55"", ""\u664b\u5347\u673a\u4f1a\u5927"", ""\u65f6\u95f4\u7075\u6d3b""]","[{""job"": ""\u52a9\u7406""}, {""job"": ""\u5185\u5bb9\u8fd0\u8425""}, {""job"": ""Android""}, {""job"": ""\u7b97\u6cd5""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""2D/3D""}, {""job"": ""\u884c\u653f""}]",https://www.shixiseng.com/com/com_i7wgp1zpzcgz,,www.wanmei.com
珠海市,珠海市网钰科技有限公司,有限责任公司(自然人投资或控股),http://www.qichacha.com/firm_SH_7864e51e38ba8cd10c66fbfd1451fba4.shtml,全球最大最权威的贸易商圈,计算机/互联网,"网钰2006年成立于中国深圳,网钰作为全球第一家以诚信排名的B2B贸易大商圈，过去的10年我们一直在市场的默默耕耘，到今天已服务全球100+万家企业用户。通过和全球最大的海关数据企业Piers，欧洲最大的B2B--Europages，以及美国邓白氏，欧洲BV等国际顶尖认证机构的紧密合作，网钰积累了丰富的海外资源与拓展的经验，同时也得到了全球最大的社交媒体Facebook的认可 ，并共同为全球商人缔造一个诚信，自由，公平，开放的贸易大商圈。<br /><br />&nbsp; &nbsp;2013年 网钰开始介入B2C领域并自主投资研发了全球品牌工厂分销生态系统 www.YYuber.com . YYuber作为全球唯一B2C2C 平台 将陆续对接Facebook，twitter，pinterest，instagram，whatsapp 等国际顶级社交媒体SNS 将帮助有品牌的工厂打通全球销售渠道 将高品质的品牌产品直达全球终端消费者，实现全球消费者开心快乐的购物并享有高质量的产品和服务，规避销售中的中间环节，杜绝一切假货，仿牌，劣质产品充斥我们的生活，网钰将不辱使命的推动全球品牌电商朝着健康有序的发展，让我们一起来迎接由品牌驱动销售的时代。<br />&nbsp; &nbsp;2016年 网钰获得国家高新技术企业认定,欢迎有梦想的您加入网钰大家庭!<br /><br />网钰的创造<br /><br />1、第一个以诚信指数为优先排序标准的贸易大商圈；<br /><br />2、第一个使用“诚信护照”的贸易大商圈；<br /><br />3、第一个创造性使用买/卖双方认证服务的信用体系的贸易大商圈；<br /><br />4、第一个承诺将平台收入的1%~5%用于社会捐赠，对象为在校优秀大学生、优秀高新/创新企业发展的网络科技公司；<br /><br />5、第一个郑重提出将合作伙伴利益置于第一位，将自身利益居后的快速发展中的网络科技公司。<br /><br />网钰的愿景<br /><br />成为全球最大最权威的贸易商圈<br /><br />网钰的使命<br /><br />引领诚信的企业走向世界<br /><br />网钰的价值观<br /><br />以客户为中心，诚信、实干、团结、进取、拥抱变化<br /><br /><br />选择永远比努力重要！ 2010 后 一流的企业做平台（定标准）；二流企业做服务（重品牌）；三流的企业做生产（重利润） 四流的企业做代工（求生活）。网钰已经跨入第一阶梯 定工厂直供全球的标准 领导全球社交电商4.0的发展 。<br />目前全球前五的顶级企业分别是：Facebook，谷歌，微软，亚马逊，腾讯<br /><br /><br /><p>	网钰（中国）运营中心</p><p>	电话：+86 756 3666529</p>地址：中国珠海高新区 南方软件园 A1 &nbsp;9层<br /><br />",0,https://sxsimg.xiaoyuanzhao.com/C5/01/C53610F2A6B69A3A6855EE3F231F9701.png,网钰科技,4,100万,注册号,440400000438553,50-150人,无,"[""\u793e\u4ea4\u7535\u5546"", ""\u5fae\u5e97"", ""facebook"", ""\u5b9e\u4e60\u53ef\u8f6c\u6b63"", ""\u63d0\u5021\u521b\u65b0"", ""\u51c6\u4e0a\u5e02\u516c\u53f8"", ""Facebook\u8425\u9500\u6280\u5de7"", ""\u4eba\u751f\u804c\u4e1a\u5927\u5e73\u53f0"", ""\u5fae\u8425\u9500"", ""\u83b7\u5f97\u9ad8\u56de\u62a5\u804c\u4e1a""]","[{""job"": ""\u5ba2\u6237\u670d\u52a1""}, {""job"": ""\u8fd0\u8425""}, {""job"": ""\u6cd5\u52a1""}, {""job"": ""\u9500\u552e""}, {""job"": ""\u8f6f\u4ef6""}, {""job"": ""\u7f16\u8f91/\u91c7\u7f16""}, {""job"": ""\u5e02\u573a""}, {""job"": ""\u516c\u5173""}, {""job"": ""\u5ba2\u670d""}, {""job"": ""\u7b56\u5212""}, {""job"": ""\u4e91\u8ba1\u7b97/\u5927\u6570\u636e""}]",https://www.shixiseng.com/com/com_twlz9qpk65fk,,www.fb.yyuber.com
北京,北京师范大学中国公益研究院,无,http://www.qichacha.com,慈善推动社会进步,"NGO,政府/公共事业","北京师范大学中国公益研究院是北京师范大学与上海李连杰壹基金于2010年6月合作成立，由老牛基金会、万达集团、泛海公益基金会、燕宝基金会、深圳壹基金等国内有影响的基金会和企业共同建立的公益研究机构。
    在慈善推动社会进步的愿景下，中国公益研究院以公益研究为基础，公益教育、公益交流与倡导为平台，公益咨询服务为业务引擎，开展国际国内交流与合作，培养专业公益人才，促进公益行业建立新型知识生产方式，推动中国现代慈善体系的建立与发展。
    中国公益研究院在公益研究与应用、公益教育与培训、公益交流与倡导、公益咨询与服务四个领域开展工作。
    公益研究：注重国际视野与本土实践相结合，理论研究与应用研究并重，以公益行业、儿童福利和老年人福利为重点研究领域。
    公益教育：开发全球公益教育资源，在培养专业公益人才的同时，注重面向公众传播公益知识和技能，构建面向大众的公益网络教育平台。
    公益交流与倡导：建设国际公益慈善交流平台，策划和组织国际考察、高端交流等项目，促进中外慈善家族、组织之间的交往。定期举办“京师公益讲堂”等系列倡导活动，促进行业信息的交流与先进理念的推广。
    公益咨询与服务：为政府、企业、慈善家族、公益慈善基金会提供公益慈善战略规划、社会福利发展规划以及管理模式、业务发展、项目委托管理等方面的咨询服务。",0,https://sxsimg.xiaoyuanzhao.com/company_logo/2015-24/UMEJV79HlL4GXWC.jpg,中国公益研究院,106,无,注册号,无,50-150人,无,"[""\u56fd\u9645\u4ea4\u6d41\u5408\u4f5c"", ""\u5de5\u4f5c\u80fd\u529b\u953b\u70bc"", ""\u5b66\u4e60\u548c\u664b\u5347""]","[{""job"": ""NGO""}, {""job"": ""NGO\u516c\u76ca""}, {""job"": ""\u54a8\u8be2/\u987e\u95ee""}]",https://www.shixiseng.com/com/com_watphqebfgcg,,www.bnu1.org
上海,众安在线财产保险股份有限公司,股份有限公司(中外合资、未上市),http://www.qichacha.com/firm_SH_f8fc1bad000772d3d3cc056073226495.shtml,蚂蚁金服、腾讯、中国平安等知名企业发起成立,计算机/互联网,众安保险，全称“众安在线财产保险股份有限公司”，2013年11月6日揭牌，由蚂蚁金服、腾讯、中国平安等知名企业发起成立。作为中国首家互联网保险公司，众安也是一家以技术创新带动金融发展的金融科技公司。     成立两年多来，众安保险已形成核心优势：产品设计基于场景定制，快速响应需求；定价基于互联网大数据，动态承保；销售则无缝接入场景，直面客户，交叉销售；理赔服务实现高度自动化，迅速而透明。     金融科技的未来非常广阔，我们期待更多伙伴加入众安保险，一起做有温度的保险！,0,https://sxsimg.xiaoyuanzhao.com/5C/74/5C081F7F567375259C530407908F0374.png,众安保险,0,124062.5万人民币,组织机构代码,08001368-7,500-2000人,2013-10-09,"[""\u5de5\u4f5c\u6c1b\u56f4\u597d"", ""\u4e09\u9a6c\u5e73\u53f0"", ""\u56e2\u961f\u725b\u4eba\u591a""]","[{""job"": ""\u4eba\u529b\u8d44\u6e90""}, {""job"": ""\u8fd0\u8425""}, {""job"": ""\u5ba2\u6237\u670d\u52a1""}, {""job"": ""\u8bbe\u8ba1""}, {""job"": ""\u4ea7\u54c1\u52a9\u7406""}, {""job"": ""\u6570\u636e\u5e93""}, {""job"": ""\u516c\u5173""}, {""job"": ""\u6d4b\u8bd5""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u62db\u8058""}, {""job"": ""Java""}]",https://www.shixiseng.com/com/com_susxpgzbb4di,,www.zhongan.com
广州,火烈鸟网络（广州）股份有限公司,其他股份有限公司(非上市),http://www.qichacha.com/firm_SH_fa923f280fe27ce09656b0ac70887e71.shtml,火烈鸟网络是一家以手机游戏社区平台为核心基础，同时兼具手机游戏研发与运营的年轻互联网企业。,计算机/互联网,<p>	&nbsp; &nbsp; 火烈鸟网络是一家以手机游戏社区平台为核心基础，同时兼具手机游戏研发与运营的年轻互联网企业。公司前身系2010年成立的中山大学学生创业团队“马丁网络工作室”， 2011年12月，工作室获天使轮投资，正式成立火烈鸟网络。如今，火烈鸟网络已公司化运营逾五年，先后获得IDG资本、广发信德等多家企业与机构超亿元投资。&nbsp;</p><p>	&nbsp;&nbsp;</p>,0,https://sxsimg.xiaoyuanzhao.com/65/26/6573D4AD145EF9590DD65C3B4EA6C426.png,火烈鸟网络,9,4500万,注册号,440106000539122,150-500人,2011-12-13,"[""\u85aa\u916c\u8865\u8d34"", ""\u8282\u65e5\u798f\u5229"", ""\u56e2\u5efa\u6d3b\u52a8"", ""\u5f52\u5c5e\u611f"", ""\u6c14\u6c1b\u6d3b\u8dc3"", ""\u5b9a\u671f\u5a31\u4e50\u6d3b\u52a8"", ""\u6709\u6210\u957f\u7a7a\u95f4"", ""\u5de5\u4f5c\u73af\u5883\u68d2"", ""\u6709\u6280\u672f\u5927\u725b\u5e26"", ""\u5305\u5de5\u4f5c\u9910""]","[{""job"": ""C/C++""}, {""job"": ""\u7b56\u5212""}, {""job"": ""\u4e91\u8ba1\u7b97/\u5927\u6570\u636e""}, {""job"": ""PHP""}, {""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""IOS""}, {""job"": ""\u5e02\u573a""}]",https://www.shixiseng.com/com/com_thekbpr2xwdx,,www.flamingo-inc.com
上海,上海骇推智能科技有限公司,无,http://www.qichacha.com,一家从事AI教育的新型创业公司,"计算机/互联网,AI人工智能",GET是一家以人工智能技术重新定义自主学习公司，我们希望通过智能科技的手段为用户链接最合适的知识。,0,https://sxsimg.xiaoyuanzhao.com/FA/E3/FAA8BF8968768EAA6E929AA221ADE2E3.png,GET,0,无,注册号,无,少于15人,无,"[""\u5e74\u8f7b\u5316\u7684\u56e2\u961f"", ""\u5b9e\u8df5\u68a6\u60f3"", ""\u5e72\u8d27\u5b9e\u4e60"", ""\u4e1a\u5185\u8ba4\u53ef\u5ea6\u9ad8\uff0c\u9886\u5bfcNice\uff0cAI\uff0c\u533a\u5757\u94fe\uff0c\u6709\u6fc0\u60c5\uff0c\u65e0\u653f\u6cbb"", ""\u8fd0\u52a8\u5065\u8eab"", ""\u6c14\u6c1b\u597d""]","[{""job"": ""\u6570\u636e\u6316\u6398""}, {""job"": ""\u7b97\u6cd5""}]",https://www.shixiseng.com/com/com_eymlwnjesqes,,www.xuehuiget.com
